Class,Probability,RA,Dec,BP-RP,G,Parallax,Absolute Magnitude,Source ID
Subdwarf,0.6633333333333333,285.53464947279195,36.65131248035239,-0.47627735,13.967787,1.8305978644040133,5.280751756867678,2093016869918710528
ZZ Ceti,0.9533333333333334,353.7229693192362,50.03531832807187,0.029809952,17.072554,8.733454526759706,11.778484316552582,1944442608134953472
Eclipsing Binary,0.9966666666666668,282.7620828690437,36.38369203301404,1.5973015,18.983074,1.9496838242028385,10.432894942614336,2093527554411239680
ZZ Ceti,0.92,354.8381544810346,51.40251494711936,0.02781105,16.804506,9.925155944158872,11.788192695642074,1944856063168152832
Subdwarf,0.79,277.8794789206832,34.17648993514447,-0.32443047,15.416277,0.5392240729423345,4.075123362301063,2094510075427245568
CV,0.8383333333333334,122.37125480667277,5.057282369133343,0.07450962,15.688523,0.6689222777840181,4.815401299673141,3094972473091480192
ZZ Ceti,0.545,119.16703550996304,4.087916381596226,0.124946594,18.707993,4.18809949566908,11.818077952792834,3095176290760980096
CV,0.99,271.4430964615811,31.67158823418226,0.83316994,18.80728,1.9182485268943616,10.221804366797327,4603249396989829376
Eclipsing Binary,0.5233333333333333,293.03116399487334,19.946782393043367,3.0931988,19.692614,16.068912396215367,15.722546415457456,1825503010864075008
Subdwarf,0.62,271.3883437326165,36.98689499477605,-0.37268925,15.647449,0.4274384562514847,3.801816963338778,4606615865372602752
Subdwarf,0.8633333333333333,234.2511656241924,-22.69683472388856,-0.21896362,14.961846,1.0457530267260426,5.058991651171377,6240955787422166656
CV,0.9116666666666666,242.8650045108691,-22.72608584558964,1.9393177,18.126938,7.167608721427598,12.40380944618676,6242642330885466752
Eclipsing Binary,0.5966666666666667,29.21778746402388,-27.85615890367472,0.846035,18.84404,9.063886317255289,13.63061224900622,5024426053381340288
ZZ Ceti,0.5283333333333333,25.677462716910025,57.01126631971171,0.14339828,18.39086,5.620618444279355,12.139780521048912,505831217714392960
CV,0.965,26.372844380898005,58.56817997781453,0.7653446,18.29175,1.496125289102662,9.16658981953912,506068849664990720
Subdwarf,0.6033333333333334,28.054784553382664,59.02502512397794,0.024961472,15.274177,1.058499166194131,5.397629601255517,506328957187371776
CV,0.9916666666666668,285.44077149398913,-13.82354256119444,0.77059174,17.631641,3.455436969677433,10.324155877248504,4101618524182811904
Eclipsing Binary,0.6133333333333333,282.45265327344623,-14.75981446925898,2.3582249,19.538614,7.799955482226228,13.999074619940432,4101783382212028032
