class,probability,ra,dec,parallax,source_id,source_id_1,name,wdname,spectype,comp,logg,mass,binarity,ismag,hasdisk,variability,source_id_2,bp_rp,G,absolute magnitude
CV,Known Variable,265.8346438947984,-4.499234131634716,4.6201956119306695,4176399299256927488,,,,,,,,,,,,,,,
CV,Known Variable,177.48200437697258,28.75199218592987,3.481798392973296,4019704731785215360,,,,,,,,,,,,,,,
CV,Known Variable,166.41569730496008,25.10782702950914,8.73670697706783,3996419759863758592,,,,,,,,,,,,,,,
CV,Known Variable,153.89434684975276,9.078324470719089,3.873737194309449,3876618514794039040,,,,,,,,,,,,,,,
CV,Known Variable,174.6113566288713,3.3683500386578524,7.921960890962959,3800596876396315648,,,,,,,,,,,,,,,
CV,Known Variable,174.3424234775299,1.8163491197971005,3.5640694860389592,3799290858445023488,,,,,,,,,,,,,,,
CV,Known Variable,165.90233207991253,-21.629401550999543,3.1216136576873392,3551116004427251328,,,,,,,,,,,,,,,
CV,Known Variable,164.45798766632143,-21.94965245829812,1.5957811283971788,3549823111895468672,,,,,,,,,,,,,,,
CV,Known Variable,185.5902736726,-31.25693166037109,4.136311891201861,3469884768265773824,,,,,,,,,,,,,,,
CV,Known Variable,89.68950950463412,39.25918781005749,2.051156833205263,3458275544681382912,,,,,,,,,,,,,,,
CV,Known Variable,101.89477324182256,28.106094422258018,3.829795075220992,3386289728137230976,,,,,,,,,,,,,,,
CV,Known Variable,112.87080483660684,9.939745636325124,1.1198567349540771,3161562367602419328,,,,,,,,,,,,,,,
CV,Known Variable,102.13947482535067,6.9397640614036815,3.01493205268272,3133113805608088064,,,,,,,,,,,,,,,
CV,Known Variable,118.37824340012624,4.765484097398697,0.6729618819343612,3095470964175509632,,,,,,,,,,,,,,,
CV,Known Variable,76.7468169093849,-16.99210799277191,1.875047881370261,2982847743326395648,,,,,,,,,,,,,,,
CV,Known Variable,349.87681235807094,26.255171198882778,1.9169944261629568,2844608590203675136,,,,,,,,,,,,,,,
CV,Known Variable,7.524147336776,26.290628596738262,1.387316595135448,2807841432470056448,,,,,,,,,,,,,,,
CV,Known Variable,9.612726538805646,25.156955083079207,1.988816120232344,2806802123399581056,,,,,,,,,,,,,,,
CV,Known Variable,352.25189308753545,-29.77946576416455,1.640177333531042,2329317895999827840,,,,,,,,,,,,,,,
CV,Known Variable,358.2541050214209,-38.8632422780485,10.678647572424376,2307289214897332480,,,,,,,,,,,,,,,
CV,Known Variable,300.23520330036604,56.94361464166327,1.7294000051898408,2234640908237099008,,,,,,,,,,,,,,,
CV,Known Variable,284.62894898237386,49.24236328311045,3.895164529272859,2132186284460008832,,,,,,,,,,,,,,,
CV,Known Variable,271.87604009364446,45.85910094014588,2.015972812772131,2116226254706461568,,,,,,,,,,,,,,,
CV,Known Variable,270.59349468270545,45.87904853102667,1.068051683682281,2116095133648131584,,,,,,,,,,,,,,,
CV,Known Variable,273.58535580196946,41.85613764828477,0.7865866030171267,2113091615775375232,,,,,,,,,,,,,,,
CV,Known Variable,281.11112453510594,37.99776862965083,2.3846686478938657,2096934223687181696,,,,,,,,,,,,,,,
CV,Known Variable,306.8223856589105,43.6893736449254,2.2495940444443474,2069105580089321472,,,,,,,,,,,,,,,
CV,Known Variable,334.2096507677777,46.77812719993245,2.519804410462548,1963247113132725120,,,,,,,,,,,,,,,
