Class,Probability,RA,Dec,BP-RP,G,Parallax,Absolute Magnitude,Source ID
CV,Known Variable,165.90233207991253,-21.629401550999543,0.77853775,17.755365,3.1216136576873392,10.227260760901355,3551116004427251328
CV,Known Variable,164.45798766632143,-21.94965245829812,0.6585903,17.821907,1.5957811283971788,8.836773624147064,3549823111895468672
CV,Known Variable,185.5902736726,-31.25693166037109,0.20645905,18.865839,4.136311891201861,11.948905392597,3469884768265773824
CV,Known Variable,89.68950950463412,39.25918781005749,0.63674545,18.698206,2.051156833205263,10.258200340826754,3458275544681382912
CV,Known Variable,101.89477324182256,28.106094422258018,0.6299076,15.880992,3.829795075220992,8.796869681746859,3386289728137230976
CV,Known Variable,112.87080483660684,9.939745636325124,0.19307423,14.946876,1.1198567349540771,5.192688331214185,3161562367602419328
CV,Known Variable,102.13947482535067,6.9397640614036815,1.5240784,18.181349,3.01493205268272,10.57773664460726,3133113805608088064
CV,Known Variable,118.37824340012624,4.765484097398697,0.03584957,15.423298,0.6729618819343612,4.563250327550792,3095470964175509632
CV,Known Variable,76.7468169093849,-16.99210799277191,0.59246063,18.8102,1.875047881370261,10.175261811917036,2982847743326395648
CV,Known Variable,349.87681235807094,26.255171198882778,0.8202305,17.22456,1.9169944261629568,8.63766425064438,2844608590203675136
CV,Known Variable,7.524147336776,26.290628596738262,0.34587383,14.848258,1.387316595135448,5.55913590677385,2807841432470056448
CV,Known Variable,9.612726538805646,25.156955083079207,0.9596157,18.626501,1.988816120232344,10.119474157301358,2806802123399581056
CV,Known Variable,352.25189308753545,-29.77946576416455,0.10116863,13.571768,1.640177333531042,4.646222029294787,2329317895999827840
CV,Known Variable,358.2541050214209,-38.8632422780485,0.17116547,16.259844,10.678647572424376,11.402425268600744,2307289214897332480
CV,Known Variable,300.23520330036604,56.94361464166327,0.4627819,18.766235,1.7294000051898408,9.9557122797145,2234640908237099008
CV,Known Variable,284.62894898237386,49.24236328311045,0.5899677,16.337408,3.895164529272859,9.290037033593885,2132186284460008832
CV,Known Variable,271.87604009364446,45.85910094014588,0.46171665,14.589075,2.015972812772131,6.111498354783468,2116226254706461568
CV,Known Variable,270.59349468270545,45.87904853102667,0.6709156,18.78144,1.068051683682281,8.924401344899598,2116095133648131584
CV,Known Variable,273.58535580196946,41.85613764828477,0.110388756,15.048517,0.7865866030171267,4.5272497266076215,2113091615775375232
CV,Known Variable,281.11112453510594,37.99776862965083,0.74651146,18.125425,2.3846686478938657,10.012565209566976,2096934223687181696
CV,Known Variable,306.8223856589105,43.6893736449254,0.8307686,16.658224,2.2495940444443474,8.418744767969143,2069105580089321472
CV,Known Variable,334.2096507677777,46.77812719993245,0.7487707,14.924224,2.519804410462548,6.931058158762001,1963247113132725120
CV,Known Variable,301.90243261138374,17.70398444239941,0.1702671,15.180982,22.103506001312454,11.903287829117584,1809844934461976832
CV,Known Variable,303.26677500556184,15.59615533601892,0.35285187,14.852333,1.4212052352354292,5.615616993065029,1808517927003421056
CV,Known Variable,317.4603977262317,13.810940767214907,0.17864418,18.43059,4.5533934917128,11.722265912308965,1759156585115470976
CV,Known Variable,245.8472824856324,78.43436343475258,0.7097969,18.493237,2.698970988392896,10.649228081455067,1707635020719834880
CV,Known Variable,234.50031845697785,18.86759504872747,0.50642586,14.889729,2.0279812154336936,6.425048639718538,1209876314302933632
CV,Known Variable,239.2269993110532,21.12192379075724,1.2829266,17.266565,3.1105783135201377,9.730770699188344,1204588041329337600
CV,Known Variable,238.196448460572,18.94162129472689,0.80638313,16.051321,7.593545580044447,10.453544020653007,1203639265875666304
CV,Known Variable,231.5581593922861,8.30049437072688,0.4849968,17.585611,3.356109457837461,10.214791583428733,1163811724898541440
